"prec","total_votes","trump","clinton","latino_reg","total_reg","county_id","county_name","pct_latino","pct_trump","pct_clinton"
"4015_kingman_south",5555,4022,1231,459,8863,"4015","mohave",0.051788333521381,0.724032403240324,0.221602160216022
"4015_kingman_east",6118,4545,1210,732,11216,"4015","mohave",0.0652639087018545,0.742889833278849,0.197777051323962
"4015_lake_havasu_north",6947,5375,1331,530,10484,"4015","mohave",0.0505532239603205,0.773715272779617,0.191593493594357
"4015_lake_havasu_south",18421,14009,3735,1615,28943,"4015","mohave",0.05579932971703,0.760490744259269,0.20275772216492
"4015_littlefield",940,672,237,211,1849,"4015","mohave",0.114115738236885,0.714893617021277,0.252127659574468
"4015_golden_shores",834,618,197,74,1442,"4015","mohave",0.0513176144244105,0.741007194244604,0.23621103117506
"4015_moccasin",68,35,28,17,169,"4015","mohave",0.100591715976331,0.514705882352941,0.411764705882353
"4015_peach_springs",231,28,194,4,661,"4015","mohave",0.00605143721633888,0.121212121212121,0.83982683982684
"4019_001",980,462,467,479,1650,"4019","pima",0.29030303030303,0.471428571428571,0.476530612244898
"4019_002",120,59,51,27,181,"4019","pima",0.149171270718232,0.491666666666667,0.425
"4019_003",180,5,167,38,306,"4019","pima",0.124183006535948,0.0277777777777778,0.927777777777778
"4019_004",696,59,597,90,1452,"4019","pima",0.0619834710743802,0.0847701149425287,0.857758620689655
"4019_005",2693,1789,722,519,4223,"4019","pima",0.122898413450154,0.66431489045674,0.268102487931675
"4019_006",3435,1982,1217,858,5074,"4019","pima",0.169097359085534,0.577001455604076,0.35429403202329
"4019_007",87,43,35,13,129,"4019","pima",0.10077519379845,0.494252873563218,0.402298850574713
"4019_008",399,175,195,60,576,"4019","pima",0.104166666666667,0.43859649122807,0.488721804511278
"4019_009",2023,827,1099,299,2816,"4019","pima",0.106178977272727,0.408798813643104,0.543252595155709
